"idDienThoai";"ten";"url_img";"gia";"gia_cu";"gia_online";"ram";"rom";"mau_sac";"khuyen_mai";"url_installment";"cong_nghe_man_hinh";"do_phan_giai";"mau_man_hinh";"chuan_man_hinh";"cong_nghe_cam_ung";"man_hinh";"mat_kinh_man_hinh";"toc_do_cpu";"so_nhan";"chipset";"gpu";"cam_bien";"the_nho_ngoai";"dung_luong_the_nho_toi_da";"dung_luong_danh_ba";"bo_nho_con_lai";"kich_thuoc";"trong_luong";"kieu_dang";"chat_lieu";"chong_nuoc";"loai_pin";"cong_nghe_pin";"dung_luong_pin";"thao_roi_pin";"thoi_gian_cho";"thoi_gian_dam_thoai";"thoi_gian_sac";"sac_nhanh";"ket_noi_usb";"cong_ket_noi_khac";"cong_sac";"jack_in_out";"wifi";"gps";"bluetooth";"gprs";"edge";"loai_sim";"mang_2g";"mang_3g";"mang_4g";"khe_cam_sim";"nfc";"model_series";"he_dieu_hanh";"xem_phim";"nghe_nhac";"ghi_am";"fm_radio";"den_pin";"chuc_nang_khac";"thoi_gian_bao_hanh";"xuat_xu";"nam_san_xuat";"do_phan_giai_cam_truoc";"do_phan_giai_cam_sau";"thong_tin_khac";"quay_phim";"den_flash";"chup_anh_nang_cao";"video_call";"box";"choi_game";"ghi_chu"
"156";"Samsung Galaxy A51";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/12/637196211718019710_ss-a51-xanh-1.png";"7190000";"5753000";"7990000";"6 GB";"128 GB";"Xanh/Đen/Hồng/Trắng/";"Giá đặc biệt đến 21/06: 7,190,000đ
Hoặc mua giá thường: 7,990,000đ
Tặng 200 kWh điện trị giá 400,000đ
Tặng sạc dự phòng chính hãng Samsung 10,000 mAh
Ưu đãi thêm:
Trả góp 0%, trả trước chỉ từ 799,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 429,000đ.
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-a71";"Super AMOLED";"1080 x 2340 Pixels";"16 triệu màu";"Full HD+ (1080 x 2400 Pixels)";NULL;"6.5 inchs";"Kính cường lực Corning Gorilla Glass 3";"4 nhân 2.3 Ghz & 4 nhân 1.7 GHz";"8";"Exynos 9611";"Mali-G72 MP3";"Vân tay (dưới màn hình, quang học), gia tốc kế, con quay hồi chuyển, độ gần, la bàn";"MicroSD";"512 GB";"Không giới hạn";"Khoảng 107GB";"Dài 158.4 mm - Ngang 73.7 mm - Dày 7.9 mm";"172 g";"Nguyên Khối";"Khung nhựa + mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Po";NULL;"4000mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Type-C (USB 2.0)";"3.5mm";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"v5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy  A";NULL;"Có";"Có";"Có";"Có";"Có";"	Đèn pin, Chạm 2 lần sáng màn hình, Sạc pin nhanh, Chặn cuộc gọi, Ghi âm cuộc gọi, Chặn tin nhắn, Mặt kính 2.5D, Màn hình luôn hiển thị AOD, Trợ lý ảo Samsung Bixby, Thu nhỏ màn hình sử dụng một tay, Nhân bản ứng dụng, Không gian trò chơi";"12 Tháng";"Việt Nam";"2019";"32.0Mp";"48MP+5MP+12MP+5MP (4 camera)";"Tự động lấy nét (AF), A.I Camera, Xoá phông, Quay phim 4K, Flash màn hình, Quay video HD, Nhận diện khuôn mặt, , Góc rộng (Wide)";"Quay phim siêu chậm 240fps, Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps";"Có";"Quay siêu chậm , Lấy nét theo pha, Ban đêm, Trôi nhanh thời gian , Quay chậm , Xoá phông, Siêu cận (Macro), Góc siêu rộng , Chụp bằng cử chỉ, Tự động lấy nét (AF), HDR, Toàn cảnh , Làm đẹp (Beautify), Chuyên nghiệp (Pro)";NULL;"Hộp, Cáp, Sách hướng dẫn, ốp lưng, que lấy sim, tai nghe
";NULL;"không"
"157";"Samsung Galaxy A71";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/12/637196196034615068_ss-a71-xanh-1.png";"8890000";"7766000";"10490000";"8 GB";"128 GB";"Xanh/Đen/Bạc/Hồng/";"Giá đặc biệt đến 21/06: 8,890,000đ
Hoặc mua giá thường: 10,490,000đ
Tặng 600 kWh điện trị giá 1,200,000đ
Tặng sạc dự phòng chính hãng Samsung 10,000mAh
Ưu đãi thêm:
Trả góp 0%, mỗi tháng từ 520,000đ
Giảm 40% Đồng hồ Samsung Watch Active khi mua kèm máy
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 529,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-a71";"Super AMOLED";"1080 x 2400 Pixels";"16 triệu màu";"Full HD +";NULL;"6.7 inchs";"Kính Cường Lực";"2 nhân 2.2 GHz & 6 nhân 1.8 GHz";"8";"Snapdragon 730 8 nhân";"Adreno 618";"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình";"MicroSD";"512 GB";"Không giới hạn";"Đang cập nhật";"Dài 163.6 mm - Ngang 76 mm - Dày 7.7 mm";"179 g";"Thiết kế nguyên khối";"Khung nhựa + mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Ion";NULL;"4500 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"v5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy  A";NULL;"Có";"Có";"Có";"Có";"Có";"Màn hình luôn hiển thị AOD, Chặn cuộc gọi, Sạc pin nhanh, Chặn tin nhắn, Mặt kính 2.5D , Đèn pin";"12 Tháng";"Việt Nam";"2019";"32.0Mp";"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP";"	Nhãn dán (AR Stickers), Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Đèn Flash trợ sáng, HDR";"Quay phim HD 720p@240fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps";"Có";"Siêu cận (Macro), Góc siêu rộng (Ultrawide), Làm đẹp, Zoom tele, Chụp bằng cử chỉ, Xoá phông, Quay chậm (Slow Motion), A.I Camera, Tự động lấy nét (AF), Chạm lấy nét, HDR, Toàn cảnh (Panorama), Chuyên nghiệp (Pro)";NULL;"Thân máy, củ sạc, cáp sạc, tai nghe, que lấy sim, ốp lưng và sách hướng dẫn sử dụng
";NULL;"không"
"158";"Samsung Galaxy Note 10+";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/8/8/637008711602926121_SS-note-10-pl-den-1-1.png";"26990000";"13497000";NULL;"12 GB";"256 GB";"Đen/Bạc/Trắng/Xanh/";"Trả góp 0%, mỗi tháng từ 1,320,000đ
Giảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 1,399,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-note-10";"Dynamic AMOLED";"1440 x 3040 pixels";"16 triệu màu";"2K+";NULL;"6.8 inches";"Kính cường lực Corning Gorilla Glass";"2.73 Ghz + 2.4 GHz + 1.9 GHX";"8";"Exynos 9825";"Mali-G76 MP12";"Mở khóa vân tay dưới màn hình, bảo mật khuôn mặt,...";"MicroSD";"Tối đa 1TB";"Không giới hạn";"Đang cập nhật";"Dài 162.3 mm - Ngang 77.2 mm - Dày 7.9 mm";"196 g";"Nguyên Khối";"Khung kim loại + mặt kính cường lực";"Có";"Pin chuẩn Li-Ion";NULL;"4,300 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Type-C 1.0";"USB Type C";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"Có, với A-GPS, GLONASS, BDS";"v5.0, apt-X, A2DP, LE";"Không";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy Note";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"12 Tháng";"Việt Nam";"2019";"10MP";"Chính 12 MP & Phụ 12 MP, 16 MP";"Flash màn hình, Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF)";"2160p@60fps, 1080p@240fps, 720p@960fps, HDR, dual-video rec";"Có";"Zoom quang học (Camera kép), Chụp ảnh xóa phông, Chế độ Slow Motion, A.I Camera, Điều chỉnh khẩu độ, Super Slow motion (quay siêu chậm), Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS), Beautify, Chế độ";NULL;"Hộp, Máy, Sạc, Cáp, Tai nghe, Que lấy sim, Ốp lưng, Sách hướng dẫn sử dụng
";NULL;"không"
"159";"Samsung Galaxy Note 10 Lite";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/1/17/637148516615700174_SS-note10-lite-den-1.png";"9990000";"9097000";"13990000";"8 GB";"128 GB";"Đen/Bạc/";"Giá đặc biệt đến 21/06: 9,990,000đ
Trả góp 0%, mỗi tháng từ 690,000đ
Giảm 40% Đồng hồ Samsung Watch Active khi mua kèm máy
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 719,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-note-10";"Super AMOLED";"1080 x 2400 Pixels";"16 triệu màu";"Full HD+";NULL;"6.7 inchs";"Kính cường lực Corning Gorilla Glass 3";"4 nhân 2.7 GHz & 4 nhân 1.7 GHz";"8";"Exynos 9810 8 nhân";"Mali-G72 MP18";"Mở khoá vân tay dưới màn hình";"MicroSD";"512 GB";"Không giới hạn";"Khoảng 105 GB";"Dài 163.7 mm - Ngang 76.1 mm - Dày 8.7 mm";"199 g";"Nguyên Khối";"Khung kim loại & Mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Ion";NULL;"4500 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"2 đầu Type-C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"LE, A2DP, apt-X, v5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy Note";NULL;"Có";"Có";"Có";"Có";"Có";"Sạc pin nhanh, đèn pin, Chặn cuộc gọi, Chặn tin nhắn, Mặt kính 2.5D, Siêu tiết kiệm pin, Màn hình luôn hiển thị AOD, Trợ lý ảo Samsung Bixby, Thu nhỏ màn hình sử dụng một tay, Nhân bản ứng dụng Đa cửa sổ (chia đôi màn hình) Dolby Audio™";"12 Tháng";"Việt Nam";"2020";"32.0Mp";"Chính 12 MP và Phụ 12 MP,12 MP";"Flash màn hình, Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF)";"Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@60fps";"Có";"Góc rộng (Wide), Góc siêu rộng (Ultrawide), Làm đẹp, Zoom quang học, Xoá phông, Quay chậm (Slow Motion), Trôi nhanh thời gian (Time Lapse), A.I Camera, Lấy nét theo pha (PDAF), Quay siêu chậm (Super Slow Motion), Zoom tele, Tự động lấy nét (AF),...";NULL;"Sạc, cáp, tai nghe, ốp lưng, sách hướng dẫn, que sim, bộ ngòi bút
";NULL;"không"
"160";"Samsung Galaxy Z Flip";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/12/637170989844044079_ss-Z-flip-1.png";"36000000";"27720000";NULL;"8 GB";"256 GB";"Tím/Đen/";"Trả góp 0%
Tặng 1 năm bảo hiểm thay màn hình 1 lần & Hỗ trợ kĩ thuật tại nhà 
Xem chi tiếtƯu đãi phòng chờ hạng thương gia 
Xem chi tiếtGiảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 1,599,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip/544517/tra-gop";"Chính: Dynamic AMOLED, phụ: Super AMOLED";"1080 x 2636 Pixels";"16 triệu màu";"Full HD+";NULL;"6.7 inchs";"Kính cường lực Corning Gorilla Glass 6";"1 nhân 2.96 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz";"8";"Snapdragon 855+ 8 nhân";"Adreno 640 (700 Hz)";"Mở khóa bằng vân tay, Mở khoá khuôn mặt";"Không";"Đang cập nhật";"Không giới hạn";"Đang cập nhật";"Dài 167.3 mm - Ngang 73.6 mm - Dày 7.2 mm";"183 g";"Nguyên Khối";"Khung kim loại & Mặt lưng kính cường lực";"Đang cập nhật";"Pin chuẩn Li-Po";NULL;"3300 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"USB Type C";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"v5.0, apt-X, A2DP, LE";"Có";NULL;"1 eSIM & 1 Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy Z";NULL;"Có";"Có";"Có";"Có";"Có";"Dolby Audio™,  Âm thanh AKG, Samsung DeX , Đèn pin ,Sạc pin nhanh, Chặn cuộc gọi, Chặn tin nhắn,Samsung Pay, Trợ lý ảo Samsung Bixby";"12 Tháng";"Việt Nam";"2020";"10MP";"Chính 12 MP & Phụ 12 MP";"Làm đẹp (Beautify), Xoá phông, Nhận diện khuôn mặt, Quay video Full HD, Tự động lấy nét (AF), HDR";"Đang cập nhật";"Có";"Góc rộng (Wide), Zoom quang học, Xoá phông, Quay chậm (Slow Motion), Trôi nhanh thời gian (Time Lapse), Góc siêu rộng, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh, Chống rung quang học, Làm đẹp,....";NULL;"Hộp, Máy, Ốp Lưng, Sách hướng dẫn, Sạc, Cáp, Cổng OTG, Tai Nghe 
";NULL;"không"
"161";"Samsung Galaxy A51 5G";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/15/637225420863953000_ss-a51-5g-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"162";"Samsung Galaxy M31";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/11/637195383730560800_ss-m31-den-1.png";"6290000";"4994000";NULL;"6 GB";"128 GB";"Đen/Xanh/";"Tặng 100 kWh điện trị giá 200,000đ (đã trừ vào giá)
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-m31";"Super AMOLED";"1080 x 2340 Pixels";"Đang cập nhật";"Full HD+";NULL;"6.4 inches";"Kính Cường Lực";"4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53";"8";"Exynos 9611";"Mali-G72 MP3";"Cảm biến vân tay mặt lưng";"Chưa xác định";"512 GB";"Tùy bộ nhớ";"MicroSD, hỗ trợ tối đa 512 GB";"Dài 159.2 mm - Ngang 75.1 mm - Dày 8.9 mm";"191 g";"Nguyên Khối";"Khung nhựa + mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Po";NULL;"6000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"A-GPS, Glonass";"v5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Galaxy M";NULL;"Có";"Có";"Có";"Có";"Có";"Chặn cuộc gọ,i Sạc pin nhanh, Đèn pin, Dolby Audio™, Chặn tin nhắn";"12 Tháng";"Việt Nam";"2020";"32.0Mp";"Chính 64 MP & Phụ 8 MP, 5 MP, 5 MP";"HDR, Quay phim 4K, Nhãn dán (AR Stickers), Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF)";"Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps";"Có";"Ban đêm (Night Mode), Xoá phông, Góc rộng (Wide), Góc siêu rộng (Ultrawide), Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh (Panorama), Làm đẹp (Beautify)";NULL;"Máy, Sạc, Sách Hướng Dẫn, Hộp
";NULL;"không"
"163";"Samsung Galaxy S20 Ultra";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/12/637170935336423061_ss-s20-ultra-xam-1.png";"29990000";"22198000";NULL;"12 GB";"128 GB";"Xám/Đen/";"Trả góp 0%, mỗi tháng từ 1,460,000đ
Giảm ngay 7,000,000đ (áp dụng đến 21/06)
Ưu đãi phòng chờ hạng thương gia 
Xem chi tiếtGiảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 1,399,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-s20-plus";"Dynamic AMOLED 2X";"2K+ (1440 x 3200 Pixels)";"16 triệu màu";"2K+";NULL;"6.9 inchs";"Kính cường lực Corning Gorilla Glass 6";"2 nhân 2.73 GHz, 2 nhân 2.6 GHz & 4 nhân 2.0 GHz";"8";"Exynos 990";"Mali-G77 MP11";"Mở khoá vân tay dưới màn hình";"MicroSD";"Tối đa 1TB";"Không giới hạn";"Đang cập nhật";"Dài 166.9 mm - Ngang 76 mm - Dày 8.8 mm";"222 g";"Nguyên Khối";"Khung kim loại & Mặt lưng kính cường lực";"Có";"Pin chuẩn Li-Ion";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"USB Type C";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"LE, A2DP, apt-X, v5.0";"Có";NULL;"2 SIM Nano (SIM 2 chung khe thẻ nhớ)";NULL;NULL;NULL;"2";"Có";"Galaxy S";NULL;"Có";"Có";"Có";"Có";"Có";"Samsung DeX, Nhân bản ứng dụng, Samsung Pay, Thu nhỏ màn hình sử dụng một tay, Trợ lý ảo Samsung Bixby, Màn hình luôn hiển thị AOD, Âm thanh AKG, Sạc pin nhanh, Sạc pin cho thiết bị khác, Chuẩn Kháng nước, Chuẩn kháng bụi, Dolby Audio™...";"12 Tháng";"Việt Nam";"2020";"40MP";"Chính 108 MP & phụ 48 MP, 12 MP, TOF 3D";"Nhãn dán (AR Stickers), Flash màn hình, Chụp bằng cử chỉ, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF), Góc rộng (Wide), HDR, Xoá phông, Quay phim 4K";"Quay phim FullHD 1080p@30fps, Quay phim HD 720p@960fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps, Quay phim 8K 4320p@24fps";"Có";"Góc siêu rộng , Siêu cận, Zoom tele, Zoom quang học, Xoá phông, Quay chậm, Trôi nhanh thời gian, Ban đêm, A.I Camera, Quay siêu chậm, Điều chỉnh khẩu độ, Tự động lấy nét, Chạm lấy nét,";NULL;"Máy, Cáp, Sạc, Tai Nghe, Đệm tai dự phòng, Ốp Lưng, Sách hướng dẫn sử dụng, Cây lấy sim
";NULL;"không"
"164";"Samsung Galaxy S20+";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/12/637170945536714482_ss-s20-plus-den-1.png";"23990000";"18469000";NULL;"8 GB";"128 GB";"Đen/Xanh/Xám/";"Trả góp 0%, mỗi tháng từ 1,172,000đ
Giảm ngay 7,000,000đ (áp dụng đến 21/06)
Ưu đãi phòng chờ hạng thương gia 
Xem chi tiếtGiảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 1,299,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-s20-plus";"Dynamic AMOLED 2X";"2K+ (1440 x 3200 Pixels)";"16 triệu màu";"2K+";NULL;"6.7 inchs";"Kính cường lực Corning Gorilla Glass 6";"2 nhân 2.73 GHz, 2 nhân 2.6 GHz & 4 nhân 2.0 GHz";"8";"Exynos 990";"Mali-G77 MP11";"Mở khoá vân tay dưới màn hình";"MicroSD";"Tối đa 1TB";"Không giới hạn";"Đang cập nhật";"Dài 161.9 mm - Ngang 73.7 mm - Dày 7.8 mm";"188 g";"Nguyên Khối";"Khung kim loại & Mặt lưng kính cường lực";"Có";"Pin chuẩn Li-Ion";NULL;"4500 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type-C";"USB Type C";"Dual-band, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"LE, A2DP, apt-X, v5.0";"Có";NULL;"2 SIM Nano (SIM 2 chung khe thẻ nhớ)";NULL;NULL;NULL;"2";"Có";"Galaxy S";NULL;"Có";"Có";"Có";"Có";"Có";"Thu nhỏ màn hình sử dụng một tay, Chuẩn Kháng nước, Chuẩn kháng bụi, Chạm 2 lần sáng màn hình, Sạc pin nhanh, Màn hình luôn hiển thị AOD, Trợ lý ảo Samsung Bixby, Samsung DeX, Nhân bản ứng dụng, Samsung Pay, Âm thanh AKG, Dolby Audio™";"12 Tháng";"Việt Nam";"2020";"10MP";"Chính 12 MP & Phụ 64 MP, 12 MP, TOF 3D";"HDR, Tự động lấy nét (AF), Quay video Full HD, Làm đẹp (Beautify), Nhận diện khuôn mặt, Chụp bằng cử chỉ, Flash màn hình, Nhãn dán (AR Stickers), Quay phim 4K, Xoá phông";"Quay phim HD 720p@960fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps, Quay phim 8K 4320p@24fps";"Có";"Góc siêu rộng , Zoom quang học, Xoá phông,Trôi nhanh thời gian , Ban đêm , A.I Camera, Điều chỉnh khẩu độ, Quay siêu chậm , Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh , Chống rung quang học, Chuyên nghiệp";NULL;"Máy, Cáp, Sạc, Tai Nghe, Đệm tai dự phòng, Ốp Lưng, Sách hướng dẫn sử dụng, Cây lấy sim
";NULL;"không"
"165";"Samsung Galaxy S10 Lite";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/11/21/637099537219018549_ss-s10-lite-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"166";"Samsung Galaxy A90 5G";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/9/9/637036450644963982_samsung-galaxy-a90-5g-den-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"167";"Samsung Galaxy A60";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/4/18/636911837117207051_samsung-galaxy-a60-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"168";"Samsung Galaxy A70s";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/10/8/637061421237981123_ss-a70s-4.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
